InvoiceID,Branch,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax5%,Total,Date,Time,TimeOfDay,Hour,Payment,Cogs,GrossMargin Percentage,GrossIncome,Rating,MonthName,Month,Day,Year
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,25/2/2019,11:24:00 am,Morning,11,Ewallet,430.2,4.76,21.51,4.8,February,2,25,2019
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.2,277.14,5/3/2019,10:40:00 am,Morning,10,Ewallet,263.94,4.76,13.2,5.1,March,3,5,2019
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,15/3/2019,12:20:00 pm,Afternoon,12,Credit card,66.4,4.76,3.32,4.4,March,3,15,2019
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,17/2/2019,11:15:00 am,Morning,11,Ewallet,172.8,4.76,8.64,9.9,February,2,17,2019
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.29,279.18,2/3/2019,5:36:00 pm,Evening,17,Ewallet,265.89,4.76,13.29,6,March,3,2,2019
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,441.76,22/3/2019,7:20:00 pm,Evening,19,Credit card,420.72,4.76,21.04,8.5,March,3,22,2019
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.68,35.2,8/2/2019,3:31:00 pm,Afternoon,15,Cash,33.52,4.76,1.68,6.7,February,2,8,2019
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.77,184.11,10/3/2019,12:17:00 pm,Afternoon,12,Credit card,175.34,4.76,8.77,7.7,March,3,10,2019
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,25/1/2019,7:48:00 pm,Evening,19,Cash,441.8,4.76,22.09,9.6,January,1,25,2019
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2,235.21,15/3/2019,3:36:00 pm,Afternoon,15,Cash,224.01,4.76,11.2,7.4,March,3,15,2019
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.53,494.18,25/2/2019,7:39:00 pm,Evening,19,Credit card,470.65,4.76,23.53,4.8,February,2,25,2019
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.13,737.76,28/1/2019,12:43:00 pm,Afternoon,12,Cash,702.63,4.76,35.13,4.5,January,1,28,2019
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.51,703.75,10/1/2019,2:49:00 pm,Afternoon,14,Cash,670.24,4.76,33.51,5.1,January,1,10,2019
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.66,202.82,15/3/2019,10:12:00 am,Morning,10,Credit card,193.16,4.76,9.66,5.1,March,3,15,2019
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.88,417.56,6/2/2019,10:42:00 am,Morning,10,Ewallet,397.68,4.76,19.88,7.5,February,2,6,2019
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.41,71.53,7/1/2019,12:28:00 pm,Afternoon,12,Ewallet,68.12,4.76,3.41,6.8,January,1,7,2019
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.66,328.76,10/3/2019,7:15:00 pm,Evening,19,Ewallet,313.1,4.76,15.66,7,March,3,10,2019
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.4,575.32,15/1/2019,5:17:00 pm,Evening,17,Ewallet,547.92,4.76,27.4,4.7,January,1,15,2019
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.97,461.33,23/3/2019,1:24:00 pm,Afternoon,13,Ewallet,439.36,4.76,21.97,7.6,March,3,23,2019
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.05,253.01,3/3/2019,1:01:00 pm,Afternoon,13,Cash,240.96,4.76,12.05,7.7,March,3,3,2019
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.34,91.06,17/1/2019,6:45:00 pm,Evening,18,Ewallet,86.72,4.76,4.34,7.9,January,1,17,2019
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.61,117.83,2/2/2019,10:11:00 am,Morning,10,Cash,112.22,4.76,5.61,6.3,February,2,2,2019
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.74,435.46,8/2/2019,1:03:00 pm,Afternoon,13,Cash,414.72,4.76,20.74,5.6,February,2,8,2019
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,4/3/2019,8:39:00 pm,Evening,20,Cash,789.6,4.76,39.48,7.6,March,3,4,2019
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.54,32.28,16/3/2019,7:47:00 pm,Evening,19,Cash,30.74,4.76,1.54,7.2,March,3,16,2019
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.79,394.63,9/3/2019,6:00:00 pm,Evening,18,Cash,375.84,4.76,18.79,9.5,March,3,9,2019
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.51,535.72,27/2/2019,5:24:00 pm,Evening,17,Credit card,510.21,4.76,25.51,8.4,February,2,27,2019
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9,189.09,6/2/2019,3:47:00 pm,Afternoon,15,Ewallet,180.09,4.76,9,4.1,February,2,6,2019
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.68,119.26,10/2/2019,12:45:00 pm,Afternoon,12,Credit card,113.58,4.76,5.68,8.1,February,2,10,2019
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.32,867.62,19/3/2019,5:08:00 pm,Evening,17,Ewallet,826.3,4.76,41.32,7.9,March,3,19,2019
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,3/2/2019,10:19:00 am,Morning,10,Cash,639.8,4.76,31.99,9.5,February,2,3,2019
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.15,234.1,10/2/2019,3:10:00 pm,Afternoon,15,Cash,222.95,4.76,11.15,8.5,February,2,10,2019
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.57,75.05,22/3/2019,2:42:00 pm,Afternoon,14,Ewallet,71.48,4.76,3.57,6.5,March,3,22,2019
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.77,16.2,25/1/2019,3:46:00 pm,Afternoon,15,Credit card,15.43,4.76,0.77,6.1,January,1,25,2019
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.62,33.94,7/3/2019,11:49:00 am,Morning,11,Ewallet,32.32,4.76,1.62,6.5,March,3,7,2019
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.39,722.23,28/2/2019,7:01:00 pm,Evening,19,Cash,687.84,4.76,34.39,8.2,February,2,28,2019
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.43,93.11,27/3/2019,11:26:00 am,Morning,11,Cash,88.68,4.76,4.43,5.8,March,3,27,2019
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,7/2/2019,11:28:00 am,Morning,11,Ewallet,716.8,4.76,35.84,6.6,February,2,7,2019
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.18,759.68,20/1/2019,3:55:00 pm,Afternoon,15,Cash,723.5,4.76,36.18,5.4,January,1,20,2019
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.18,192.84,12/3/2019,8:36:00 pm,Evening,20,Cash,183.66,4.76,9.18,9.3,March,3,12,2019
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.71,77.93,15/2/2019,5:47:00 pm,Evening,17,Credit card,74.22,4.76,3.71,10,February,2,15,2019
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.72,351.1,24/2/2019,10:55:00 am,Morning,10,Ewallet,334.38,4.76,16.72,7,February,2,24,2019
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.78,520.41,3/2/2019,1:40:00 pm,Afternoon,13,Ewallet,495.63,4.76,24.78,10,February,2,3,2019
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.9,166,6/3/2019,12:27:00 pm,Afternoon,12,Credit card,158.1,4.76,7.9,8.6,March,3,6,2019
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.15,318.11,14/2/2019,2:35:00 pm,Afternoon,14,Cash,302.96,4.76,15.15,7.6,February,2,14,2019
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.94,166.64,13/3/2019,4:40:00 pm,Afternoon,16,Cash,158.7,4.76,7.94,5.8,March,3,13,2019
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.35,70.29,10/2/2019,3:43:00 pm,Afternoon,15,Ewallet,66.94,4.76,3.35,6.7,February,2,10,2019
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.28,614.94,7/1/2019,3:01:00 pm,Afternoon,15,Ewallet,585.66,4.76,29.28,9.9,January,1,7,2019
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.38,827.08,24/1/2019,10:04:00 am,Morning,10,Cash,787.7,4.76,39.38,6.4,January,1,24,2019
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.92,19.25,2/2/2019,6:50:00 pm,Evening,18,Cash,18.33,4.76,0.92,4.3,February,2,2,2019
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,6/1/2019,12:46:00 pm,Afternoon,12,Credit card,894.8,4.76,44.74,9.6,January,1,6,2019
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,11/2/2019,4:19:00 pm,Afternoon,16,Cash,621.2,4.76,31.06,5.9,February,2,11,2019
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.28,152.84,5/3/2019,6:17:00 pm,Evening,18,Ewallet,145.56,4.76,7.28,4,March,3,5,2019
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.77,478.23,9/3/2019,6:21:00 pm,Evening,18,Cash,455.46,4.76,22.77,8.7,March,3,9,2019
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6,705.63,22/1/2019,10:55:00 am,Morning,10,Ewallet,672.03,4.76,33.6,9.4,January,1,22,2019
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.82,437.32,13/1/2019,5:04:00 pm,Evening,17,Credit card,416.5,4.76,20.82,5.4,January,1,13,2019
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.07,463.43,9/1/2019,2:20:00 pm,Afternoon,14,Credit card,441.36,4.76,22.07,8.6,January,1,9,2019
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9,189.09,12/1/2019,3:48:00 pm,Afternoon,15,Credit card,180.09,4.76,9,5.7,January,1,12,2019
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.16,822.26,5/3/2019,4:24:00 pm,Afternoon,16,Ewallet,783.1,4.76,39.16,6.6,March,3,5,2019
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.1,107,22/1/2019,6:56:00 pm,Evening,18,Cash,101.9,4.76,5.1,6,January,1,22,2019
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.76,624.9,21/1/2019,2:42:00 pm,Afternoon,14,Credit card,595.14,4.76,29.76,5.5,January,1,21,2019
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.5,304.54,26/1/2019,7:56:00 pm,Evening,19,Ewallet,290.04,4.76,14.5,6.4,January,1,26,2019
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,23/1/2019,6:37:00 pm,Evening,18,Ewallet,154,4.76,7.7,6.6,January,1,23,2019
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.07,337.51,23/2/2019,6:45:00 pm,Evening,18,Credit card,321.44,4.76,16.07,8.3,February,2,23,2019
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.23,256.78,9/3/2019,10:17:00 am,Morning,10,Cash,244.55,4.76,12.23,6.6,March,3,9,2019
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.07,610.49,5/3/2019,2:31:00 pm,Afternoon,14,Ewallet,581.42,4.76,29.07,4,March,3,5,2019
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,25/3/2019,10:23:00 am,Morning,10,Cash,382.6,4.76,19.13,9.9,March,3,25,2019
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.28,362.94,27/3/2019,8:35:00 pm,Evening,20,Credit card,345.66,4.76,17.28,7.3,March,3,27,2019
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.59,2/1/2019,4:57:00 pm,Afternoon,16,Cash,42.47,4.76,2.12,5.7,January,1,2,2019
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.1,485.04,27/2/2019,5:55:00 pm,Evening,17,Cash,461.94,4.76,23.1,6.1,February,2,27,2019
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.48,199,23/1/2019,10:25:00 am,Morning,10,Cash,189.52,4.76,9.48,7.1,January,1,23,2019
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,26/1/2019,7:54:00 pm,Evening,19,Ewallet,448.6,4.76,22.43,8.2,January,1,26,2019
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,10/1/2019,4:42:00 pm,Afternoon,16,Ewallet,153.86,4.76,7.69,5.1,January,1,10,2019
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.96,608.2,12/3/2019,12:09:00 pm,Afternoon,12,Credit card,579.24,4.76,28.96,8.6,March,3,12,2019
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.49,94.24,6/2/2019,8:05:00 pm,Evening,20,Credit card,89.75,4.76,4.49,6.6,February,2,6,2019
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.86,102.02,8/3/2019,8:38:00 pm,Evening,20,Ewallet,97.16,4.76,4.86,7.2,March,3,8,2019
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.94,922.64,29/3/2019,10:25:00 am,Morning,10,Ewallet,878.7,4.76,43.94,5.1,March,3,29,2019
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.74,78.44,9/2/2019,1:11:00 pm,Afternoon,13,Cash,74.7,4.76,3.74,4.1,February,2,9,2019
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.91,166.16,23/3/2019,10:16:00 am,Morning,10,Ewallet,158.25,4.76,7.91,9.3,March,3,23,2019
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,5/3/2019,6:14:00 pm,Evening,18,Cash,496.2,4.76,24.81,7.4,March,3,5,2019
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.44,51.15,26/3/2019,7:20:00 pm,Evening,19,Cash,48.71,4.76,2.44,4.1,March,3,26,2019
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.35,742.3,1/3/2019,1:22:00 pm,Afternoon,13,Cash,706.95,4.76,35.35,7.2,March,3,1,2019
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.38,218.01,1/2/2019,11:27:00 am,Morning,11,Cash,207.63,4.76,10.38,4.9,February,2,1,2019
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.48,367.04,28/3/2019,4:44:00 pm,Afternoon,16,Cash,349.56,4.76,17.48,9.9,March,3,28,2019
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.62,223.07,19/3/2019,6:19:00 pm,Evening,18,Cash,212.45,4.76,10.62,8,March,3,19,2019
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.34,931.04,12/1/2019,2:50:00 pm,Afternoon,14,Ewallet,886.7,4.76,44.34,7.3,January,1,12,2019
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.21,172.49,5/1/2019,8:54:00 pm,Evening,20,Credit card,164.28,4.76,8.21,7.9,January,1,5,2019
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.64,391.42,22/3/2019,8:19:00 pm,Evening,20,Cash,372.78,4.76,18.64,7.4,March,3,22,2019
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.29,321.11,24/3/2019,10:43:00 am,Morning,10,Cash,305.82,4.76,15.29,4.2,March,3,24,2019
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.98,860.68,3/3/2019,2:30:00 pm,Afternoon,14,Cash,819.7,4.76,40.98,9.2,March,3,3,2019
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.65,34.63,5/2/2019,11:32:00 am,Morning,11,Ewallet,32.98,4.76,1.65,4.6,February,2,5,2019
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.73,309.36,5/2/2019,10:41:00 am,Morning,10,Credit card,294.63,4.76,14.73,7.8,February,2,5,2019
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.49,535.37,15/2/2019,12:44:00 pm,Afternoon,12,Cash,509.88,4.76,25.49,8.4,February,2,15,2019
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.13,548.76,19/1/2019,8:07:00 pm,Evening,20,Ewallet,522.63,4.76,26.13,4.3,January,1,19,2019
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,1/2/2019,8:31:00 pm,Evening,20,Credit card,727.11,4.76,36.36,9.5,February,2,1,2019
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.05,85.11,2/3/2019,1:01:00 pm,Afternoon,13,Credit card,81.06,4.76,4.05,7.1,March,3,2,2019
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.48,115.18,5/3/2019,12:29:00 pm,Afternoon,12,Ewallet,109.7,4.76,5.48,5.3,March,3,5,2019
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.57,53.93,16/1/2019,3:26:00 pm,Afternoon,15,Ewallet,51.36,4.76,2.57,5.2,January,1,16,2019
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,8:48:00 pm,Evening,20,Ewallet,109.6,4.76,5.48,6,February,2,2,2019
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.34,112.22,20/1/2019,8:38:00 pm,Evening,20,Ewallet,106.88,4.76,5.34,4.1,January,1,20,2019
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.82,836.3,14/2/2019,5:03:00 pm,Evening,17,Credit card,796.48,4.76,39.82,5.2,February,2,14,2019
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.99,419.83,12/1/2019,12:02:00 pm,Afternoon,12,Credit card,399.84,4.76,19.99,6.5,January,1,12,2019
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.98,944.62,9/3/2019,5:26:00 pm,Evening,17,Credit card,899.64,4.76,44.98,4.2,March,3,9,2019
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.56,536.84,13/3/2019,7:52:00 pm,Evening,19,Credit card,511.28,4.76,25.56,4.6,March,3,13,2019
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.59,474.35,9/3/2019,2:57:00 pm,Afternoon,14,Ewallet,451.76,4.76,22.59,7.3,March,3,9,2019
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.79,688.62,10/3/2019,6:44:00 pm,Evening,18,Credit card,655.83,4.76,32.79,4.5,March,3,10,2019
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.06,169.31,27/1/2019,1:26:00 pm,Afternoon,13,Cash,161.25,4.76,8.06,9,January,1,27,2019
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.28,299.85,8/1/2019,4:17:00 pm,Afternoon,16,Credit card,285.57,4.76,14.28,5.9,January,1,8,2019
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.42,575.74,8/1/2019,3:57:00 pm,Afternoon,15,Ewallet,548.32,4.76,27.42,8.5,January,1,8,2019
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.63,853.15,8/2/2019,11:15:00 am,Morning,11,Ewallet,812.52,4.76,40.63,7.2,February,2,8,2019
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.87,291.21,25/1/2019,1:18:00 pm,Afternoon,13,Cash,277.34,4.76,13.87,7.5,January,1,25,2019
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.64,580.42,6/3/2019,8:34:00 pm,Evening,20,Cash,552.78,4.76,27.64,8.3,March,3,6,2019
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.97,146.33,10/2/2019,6:36:00 pm,Evening,18,Cash,139.36,4.76,6.97,7.4,February,2,10,2019
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.24,550.94,17/2/2019,2:40:00 pm,Afternoon,14,Credit card,524.7,4.76,26.24,8.8,February,2,17,2019
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,8/3/2019,4:43:00 pm,Afternoon,16,Ewallet,487.8,4.76,24.39,5.3,March,3,8,2019
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.53,284.19,18/2/2019,7:39:00 pm,Evening,19,Cash,270.66,4.76,13.53,6.2,February,2,18,2019
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.58,138.13,18/1/2019,8:59:00 pm,Evening,20,Credit card,131.55,4.76,6.58,8.8,January,1,18,2019
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.33,216.85,18/2/2019,3:39:00 pm,Afternoon,15,Cash,206.52,4.76,10.33,9.8,February,2,18,2019
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.96,545.06,16/2/2019,12:21:00 pm,Afternoon,12,Cash,519.1,4.76,25.96,8.2,February,2,16,2019
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,16/3/2019,7:25:00 pm,Evening,19,Ewallet,580,4.76,29,9.2,March,3,16,2019
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,23/1/2019,1:00:00 pm,Afternoon,13,Credit card,898,4.76,44.9,5.4,January,1,23,2019
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,25/1/2019,1:48:00 pm,Afternoon,13,Cash,905,4.76,45.25,8.1,January,1,25,2019
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,5/2/2019,7:57:00 pm,Evening,19,Cash,686,4.76,34.3,9.1,February,2,5,2019
